artist_label_id,source_artist_label,profile_status,characteristic_terms,top_written_finals,analysed_unique_written_lines,short_line_percentile,repeated_line_percentile,chinese_english_mixing_percentile,reference_status
ALBL-7f9d51b2153da108c09e27e39e0e3563c5aac119a896eeb929e827f8f1bea542,FAC-D12,ready,整理 | 饶舌 | 琢磨 | 堕落 | 玩儿 | 活着 | 摆脱 | 事儿,i | e | u | ian | ou,1241,3.4,2.7,19.4,awaiting human context validation
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4,G Sauce,ready,老子 | 草包 | 贵阳 | 晓得 | 直接 | 肯定 | 每首歌 | 个人,i | e | u | ou | a,1272,38.7,56.6,95.6,awaiting human context validation
ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071,GAI,ready,周延 | 金牛 | 思念 | 命运,an | i | u | e | en,1449,80.1,69.9,21.3,awaiting human context validation
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,GALI,ready,亚特兰蒂斯 | 奢侈品 | 上海 | 研究 | 地面 | 接近 | 价值 | 尝试,i | e | ian | u | ou,1614,52.7,53.2,92.4,awaiting human context validation
ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,Ghost Crew,ready,代价 | 事儿 | 哥们儿 | 背叛 | 放松 | 环境 | 跟着 | 复杂,i | e | u | a | ao,1692,12.0,16.4,33.6,awaiting human context validation
ALBL-8fe67f1bb9fc285a22c50d0d4d43b33ead424009b4de8dfeab0a3ddddc5c6e1e,Gm仙,ready,进行 | 越来越近 | 生死 | 情况 | 搭理 | 畏惧 | 举起 | 战斗,i | an | u | ian | ai,1247,3.4,15.4,10.5,awaiting human context validation
ALBL-b13d2c09b86f4e5afd7d5e0ed5496d8f08e8c5438ad84a7f3e398ab3d030f5e5,GNS耀耀,limited evidence,幻想,i | e | ing | u | a,768,80.1,7.1,35.5,awaiting human context validation
ALBL-2e810b55afb91280b967725073e8e9dee97ffc7e57519fa876a5eef1c60b2833,Green Soldier,limited evidence,,i | ang | e | ai | iao,477,23.3,64.2,97.8,awaiting human context validation
ALBL-803895061e7d1b3ae418c5489b90e87ba8b5ba8c6694f214cd7ef630b40dd204,HAS,ready,布兰 | 地铁 | 没用 | 带你去 | 发誓 | 上海 | 妈妈 | 无所谓,i | e | ou | u | ei,1234,38.7,83.6,84.1,awaiting human context validation
ALBL-d979019ce70ed85f25885322d6573ee2b06fc89d5d3a312f05d0e571d3c1e6b9,Higher Brothers,limited evidence,电影 | 电话,i | e | u | ei | ou,832,61.8,74.8,65.4,awaiting human context validation
ALBL-ababccf91bd7eece0e9ec3cd599f803bff89a216bef0cd48537ae90773c5d93f,Hotkey金朝,ready,灯光 | 进入 | 等待 | 拳头 | 不在意 | 回答 | 搭配 | 嫉妒,i | u | e | ian | ui,1410,23.3,60.5,80.6,awaiting human context validation
ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ICE,ready,冰封 | 不在意 | 成都 | 内心,i | u | ou | ian | e,1260,80.1,81.1,44.4,awaiting human context validation
ALBL-37ff92a2c4a991915f72decba88e5b2eded6f8d585460ca3c198988ae1274572,Ice Paper,ready,能否 | 抬头 | 担心 | 理由,i | ou | ian | e | u,1323,38.7,65.0,3.7,awaiting human context validation
ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c,Jarstick,ready,法老 | 想来 | 对手 | 废物 | 气氛 | 成都 | 办法 | 敌人,i | an | ai | ang | e,2194,61.8,20.3,55.1,awaiting human context validation
ALBL-275d6c06b34fc1ede399aff72db03e76929b074ec212f94453d28ff922f95804,JD,ready,忌惮 | 星火 | 钢铁 | 裁判 | 锋利 | 资格 | 用力 | 作品,i | e | u | an | ian,2080,12.0,68.4,57.6,awaiting human context validation
ALBL-0b85ce543a1bd0918047e0b04b3122ff8c8ac71a59f415e4b7185b7267f32139,jinjibewater,limited evidence,老子,i | e | ong | ui | un,734,80.1,51.2,54.7,awaiting human context validation
ALBL-4351325bff68d9ba2013f7254620f426c6d51a30ec2bb8dae4c1d2c8017071f4,Jony J,ready,干嘛 | 面子 | 麻烦 | 脚底 | 剧本 | 上路 | 普通 | 分不清,i | u | an | ou | ian,2260,38.7,16.9,16.4,awaiting human context validation
ALBL-ef963e525bebe48fd785903ab976c726352c21df455380b64bd62eb74a2ae1b4,Kandi 侃迪,ready,漂移 | 抱歉 | 胜利 | 没什么 | 享受 | 老子 | 清醒 | 开口,i | u | e | ao | ai,1702,61.8,71.8,60.5,awaiting human context validation
ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,Kc,ready,授权 | 唱片 | 翻唱 | 使用 | 纠结 | 石头 | 遇见 | 打破,i | e | ian | ou | ai,1939,38.7,84.6,56.1,awaiting human context validation
ALBL-a77568795e33c21efc2dfb2618a260e28c13560b0490be94d601be2e0d5f1dba,Kigga,limited evidence,力量 | 记住,i | a | u | e | ang,863,3.4,9.1,67.9,awaiting human context validation
ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,KITO,ready,王子 | 娃儿 | 婆娘 | 脑壳 | 老子 | 读书 | 小弟 | 不得,i | e | ao | a | ang,1520,80.1,79.2,71.8,awaiting human context validation
ALBL-64b99f305e19727a83cafde426896191340dac22d1096e0014290657b528110b,KKLUV,ready,妈妈 | 幻想 | 手机 | 享受,i | e | ai | uo | ou,942,38.7,96.8,82.6,awaiting human context validation
ALBL-bda9bbfa89b0bd940295ad568d84d7283bdc5124046b7dd9e9f71ed328bb0828,KnowKnow,ready,电影 | 电话 | 快乐,e | i | ian | ai | a,605,88.2,71.3,76.7,awaiting human context validation
ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24,Korn,ready,深不见底 | 依靠 | 挥霍 | 充满 | 脆弱 | 对手 | 时代 | 活着,i | e | ai | ou | u,1598,61.8,29.4,62.5,awaiting human context validation
ALBL-7780937cebdf3a7fdf84d6f6de9953c0fd0540f37d1f306578ffeef94a098ca4,Kzoo,ready,装进 | 能力 | 征服 | 做事 | 脾气 | 学校 | 加入 | 远离,i | e | u | ou | ao,1474,61.8,44.9,93.4,awaiting human context validation
ALBL-3aea2c0801f6f0a6142d4a1b36a638bf2b641a219dfd7ac90ea19346b4e1c1ea,ljz329,limited evidence,,i | e | ou | a | u,371,38.7,76.7,89.7,awaiting human context validation
ALBL-eb108f2c1f83074b207ab2be2d7d69c06e433803fec18042e383702c08ae6036,Mac Overseas,ready,晓得 | 成都 | 肯定 | 不得 | 了解,i | e | ian | ou | ing,1070,93.4,36.5,39.0,awaiting human context validation
ALBL-60e338cff4ca7d43b678b87ac6d0bc2923b2b774e88285998ea805732a13bc86,Max马俊,ready,爸爸 | 文字 | 孩子 | 生命,ian | i | a | u | ing,607,1.2,52.2,9.6,awaiting human context validation
ALBL-275cbdad252f54c6748319f45ee0a8a3135340327f40dfd3f83e5b261bcad5df,Melo,limited evidence,生意 | 老子,i | e | u | an | ang,680,12.0,79.9,94.4,awaiting human context validation
ALBL-ad0e4d83b1b91dd8dca2501c10a40db6acf0f405e34f11babd92198f6135a8f4,Mercy(lago),ready,媒体 | 渴望 | 障碍 | 脆弱 | 说实话 | 中文 | 哥们 | 年轻,i | e | ou | u | ai,1842,23.3,32.6,88.0,awaiting human context validation
ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,MULA SAKEE,ready,娃儿 | 老子 | 小弟 | 完成 | 晓得 | 创造,i | e | u | uo | an,1215,93.4,42.4,81.1,awaiting human context validation
ALBL-410bedcb3af781aedd8b01993423c88b246553bed5edec02764821357bfb3ad5,Nasty Ray,limited evidence,,i | er | e | u | uo,204,38.7,8.1,40.0,awaiting human context validation
ALBL-7623ac04cbb961b36d61bf66b703c428420edf9b13d991e454601fa6c6d792ce,neverkilltheape,limited evidence,免费 | 标注 | 购买 | 发布 | 私信 | 视为 | 关注 | 行为,,70,99.5,1.0,95.6,awaiting human context validation
ALBL-de2120b6e55092ce5c5aa011967ce8dcfffae11ffbb993f47bdf018134f00676,No Fear Family,ready,武汉 | 班子 | 拐子 | 尼玛 | 江城 | 汉口 | 热干面 | 哥哥,i | ao | ian | e | an,1513,48.8,63.5,43.4,awaiting human context validation
ALBL-84fcfdcf1ab20bc4908a76b2515756f6ec5f78984423e012859049c91ef1f807,NOTTIBO1,ready,国人 | 晓得 | 冷漠 | 有时候 | 直接 | 眼泪 | 期待,i | e | ian | u | ai,1159,93.4,85.0,29.7,awaiting human context validation
ALBL-cc48b376ac63f6fea6880e5372265eef198782cb91bad0382c98db1d34af89df,Nxmad诺曼得,ready,深渊 | 生命 | 感到 | 看清 | 后悔 | 接受 | 痛苦 | 垃圾,i | e | ai | ou | o,1042,80.1,89.5,31.6,awaiting human context validation
ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,OG Three,ready,贵阳 | 贵州 | 晓得 | 妈妈 | 老子 | 不行 | 鼓励 | 等到,i | ou | u | e | ao,1903,61.8,51.7,55.6,awaiting human context validation
ALBL-3ee93b4fbf1fe5935538066bfee5c8fc4d55b7308cfe1dbf78748e19528345f6,Over$ize,ready,衣服 | 风格 | 办法 | 记住,i | e | a | u | ing,1269,61.8,10.0,86.0,awaiting human context validation
ALBL-6333d5595ce07957878659758f2179f94c4e244fc91a624bad260e48824e6d0a,OWVRO老弟,ready,着急 | 不得 | 丛林 | 妈妈 | 疯狂 | 老子 | 肯定 | 感受,i | ian | e | u | ai,974,80.1,87.0,73.8,awaiting human context validation
ALBL-9033c77c9bc50aacd1b2d8eb24227fe8142eb884573a498b41f5a89be7f0f5a3,PO8,ready,金色 | 诗人 | 钞票 | 艺术家 | 汗水 | 瞳孔 | 屏幕 | 文字,i | e | ian | an | u,1561,38.7,31.9,40.4,awaiting human context validation
ALBL-24ab2db65ff01b86f7df8f18130ad4db0b5a038f7c40263e75fb0b0dc7213232,Poorman,limited evidence,,i | ao | ian | e | u,215,0.5,1.0,1.7,awaiting human context validation
ALBL-684afcd741ce3fa6d145edabeaaa08c1ac47e5ba86fdc114798bd81786f5418b,Regi 陈彦希,limited evidence,,i | en | u | ai | e,195,99.5,94.9,7.1,awaiting human context validation
ALBL-7e9a60002d7d27bc747175d30b340b7dc85f9fd3a264c05f42b5130737e9af57,Rich4ever,ready,重庆 | 健身房 | 晓得 | 崽儿 | 后座 | 沉淀 | 肯定 | 录音棚,i | ang | e | ai | a,1268,38.7,78.7,88.5,awaiting human context validation
ALBL-2c4757a584ada65232fd4e1061bb867f3e2341823f769a11a3ad84438bfe03a6,ROB93,limited evidence,,i | e | ai | ian | ang,545,88.2,34.6,69.9,awaiting human context validation
ALBL-758c40daaf5aa99c2bb61b302d6a7e854353d6b58df940ac091ecf62f863018c,S1,limited evidence,,i | ou | u | a | e,825,93.4,96.3,24.3,awaiting human context validation
ALBL-449c15c13efcf3a854c22dfa004716e1293d43fb1853aea6c0bab03d10c4c10b,SASIOVERLXRD,ready,婆娘 | 关系 | 老子 | 代表 | 晓得 | 歌词,i | u | e | ian | ou,868,23.3,68.9,78.4,awaiting human context validation
ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,Sbazzo,ready,缺少 | 忘掉 | 暴露 | 上帝 | 承受 | 环境 | 好奇 | 奇迹,i | u | e | ang | ian,1751,23.3,9.6,23.3,awaiting human context validation
ALBL-0261b0368c5af1b8ccdaeccbab00785624e008ac644429d8d84947f16a8e1246,Six City,limited evidence,,i | e | u | ai | ang,252,93.4,78.2,1.7,awaiting human context validation
ALBL-696c842e3ed9a1f7ab0284130f1a3ca48afd3efbd581178c263a594bd6158db6,southsidesamurai,limited evidence,思想,i | u | e | ian | ong,545,12.0,3.2,4.7,awaiting human context validation
ALBL-370cf8dec91c8c759d3d4eabfdc7f5c2fda07290e95e14f5731c2a18724159db,Surfosho,limited evidence,,u | in | a | ang | e,132,98.5,1.0,99.8,awaiting human context validation
ALBL-1c521aa5918a7c228d52dd39e33749ac1ed6902f61bfed0d6daaa3c3adfc4357,Tangoz,ready,杭州 | 出品 | 西湖 | 编排 | 腔调 | 嘲笑 | 抬起 | 老板,i | ou | e | an | u,1857,61.8,49.8,74.8,awaiting human context validation
ALBL-58b4f98bab37d9f291c25b06ba57304d2b1c689dcc25c63e4ff642ab5584d304,thomeboydontkill,limited evidence,成都 | 老子,i | e | an | ai | u,885,93.4,73.8,45.8,awaiting human context validation
ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,Tizzy T,ready,穿过 | 答应 | 害怕 | 大海 | 干嘛 | 不在意 | 女孩 | 靠近,i | u | ian | e | ou,1794,38.7,62.0,53.7,awaiting human context validation
ALBL-1753897f8c66389b862ec914699598c03d64c509e330ce87a7421c9325a0ac9f,TOYOKI,ready,全身 | 女孩 | 心情 | 晓得 | 存在 | 靠近 | 眼泪,i | ai | e | ou | ian,1161,61.8,74.3,59.1,awaiting human context validation
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,Turbo嗣尧,limited evidence,照片 | 结果,i | e | uo | ian | ou,815,93.4,34.6,29.2,awaiting human context validation
ALBL-71fc091f8fa9a5349caa201a162fd2a9e7fac847ff925da52daae602b7456737,TY,ready,脑壳 | 成都 | 讨厌 | 爱情 | 拥有 | 不得 | 结果 | 开心,i | u | e | ai | uo,1068,38.7,59.1,20.8,awaiting human context validation
ALBL-36142f7c7512775b0003e10735d3704a243836ce608ddce5ec55d2a9d3b46add,V.O.B.,ready,味儿 | 麦克 | 放进 | 伴奏 | 节奏,i | e | ao | u | ou,631,12.0,6.6,96.3,awaiting human context validation
ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,Vava,ready,天使 | 双手 | 烦恼 | 中国 | 温柔 | 讨厌 | 不在乎 | 呼吸,i | ou | ing | an | u,1302,93.4,90.0,35.0,awaiting human context validation
ALBL-fddf535e5b713884564473e370696e9d3ff93e4f56e8f974e38c66f522386646,Wya乌鸦,ready,使用 | 菩萨 | 不得 | 翻录 | 许可 | 翻唱 | 喝酒 | 角落,i | a | ian | ong | ang,1586,61.8,27.2,31.6,awaiting human context validation
ALBL-6e584511c3d847a8b7353a50064bbcc569da3e403933cbb51e8a88e2c4fc8f77,YOUNG,ready,短信 | 晓得 | 不在乎 | 钞票 | 老子 | 总会 | 关系 | 电话,i | e | ing | ou | in,817,17.6,57.6,47.5,awaiting human context validation
ALBL-ec1a6a5ce2ff06a97a913a555309205d1ec638937f61e263acda0f10b28e85aa,YoungChigga,ready,消亡 | 伪装 | 通通 | 列车 | 灰色 | 存在 | 武器 | 活着,i | e | ai | u | ian,1855,38.7,10.5,75.7,awaiting human context validation
ALBL-c1f982b8eb04ff36009623f8516bf6573401da3cbf9ce3a7080b5c95fe25a794,YOUNGLEGO,ready,河南 | 孩儿 | 伙计 | 玩儿 | 点儿,i | e | a | ian | ou,1287,80.1,90.9,52.7,awaiting human context validation
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,YuGo,ready,散发 | 规则 | 陪伴 | 宇宙 | 靠近 | 疯狂 | 了解 | 女孩,i | e | ai | ing | ian,1274,80.1,79.9,87.5,awaiting human context validation
ALBL-19be539ea558fbcef5a22605c16c9872520ccad409f3e1624e7105b28a7760cb,zhazha,limited evidence,,i | e | ao | u | an,439,72.1,2.2,98.3,awaiting human context validation
ALBL-f5c838e8479f7115b41dccc8470f0a7bf4f9af29972a3900d66118cbac0f88b3,万赛文,limited evidence,失去,i | uo | ian | e | ui,668,61.8,76.2,43.9,awaiting human context validation
ALBL-9d390795617660745271f543e07d046a1559f59554e1df74ef4dc93d904042f3,上官承诺,limited evidence,抱怨,i | ou | e | ian | ei,781,38.7,19.9,58.1,awaiting human context validation
ALBL-1a992211d5b1262263ca23d60bf8d7103e1eba254b60f9e0e0a05617ae61dc4f,丸,ready,足矣 | 感性 | 混迹 | 性格 | 天赋 | 焦虑 | 灵感 | 遇到,i | u | ao | ing | uo,979,5.6,6.1,36.0,awaiting human context validation
ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,乃万,ready,李俊 | 再也不会 | 宝贝 | 时光 | 拥抱 | 熟悉 | 突然,i | e | an | ai | u,1355,80.1,75.7,30.1,awaiting human context validation
ALBL-b9e828d3b8ca5e579e7b8a6233cf2f87100a9347b43e19953a76ef2513129a7e,九块钱,limited evidence,靠近,i | e | ian | an | u,681,12.0,31.9,31.6,awaiting human context validation
ALBL-7f3967d3975472e31ce4362dd92a45b49955b2ff273e500482ac5b4118c331c8,二狗子,ready,搭理 | 挥动 | 河北 | 实力 | 孩子 | 哥们 | 麦克风 | 文化,i | u | e | ou | ei,1191,12.0,3.7,94.9,awaiting human context validation
ALBL-9d041dfe49b31971ca7df1440a31023002ef9bfc53778672e8ebebf429a0563a,于漂 eZ Yang Fizz,ready,伸手 | 能量 | 寻找,i | e | u | ian | ing,935,61.8,87.5,50.2,awaiting human context validation
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,傲傲,ready,武汉 | 气氛 | 美丽 | 拜托 | 一般 | 微笑 | 心脏 | 回答,e | i | ou | u | ao,2185,50.5,73.3,70.3,awaiting human context validation
ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,光光 (MC),ready,不知不觉 | 感动 | 味道 | 星星 | 英雄 | 不够 | 围绕 | 无所谓,i | e | uo | ai | u,1770,38.7,92.4,77.7,awaiting human context validation
ALBL-9058dcff6afd9940ff9cce807bf7bc883fe6f6d183c5e0958cba710bfa814a13,八口8uck,ready,厦门 | 家乡 | 赚钱 | 出门 | 享受 | 过程 | 成都 | 风格,i | e | u | ing | ai,1502,80.1,88.5,71.3,awaiting human context validation
ALBL-1347d8cb47ac4267756940fe68d3c6c4fc79c584d4f4a8b7761c7981696c39c2,冲天小火煎,limited evidence,火箭,i | ian | e | ing | u,794,80.1,56.1,47.5,awaiting human context validation
ALBL-314c2bafd9ac4593acb1cd858e97edf4ad5631f78cb356ce14019e732aa2ae48,刀脚,ready,脑筋 | 老子 | 直接 | 叫做 | 小时候 | 不得 | 脑壳 | 生意,i | a | e | ou | ao,987,50.5,38.5,74.3,awaiting human context validation
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,ready,白昼 | 失望 | 收获 | 遗憾 | 答案 | 森林 | 信任 | 沉默,i | u | an | e | ian,1719,3.4,4.2,1.7,awaiting human context validation
ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337,刘聪 (Key.L),ready,长沙 | 楼顶 | 摩托 | 哥们 | 穿梭 | 时空 | 往事 | 拥挤,i | e | ian | u | ou,1712,28.4,45.8,79.7,awaiting human context validation
ALBL-9b613de436fe8c5d5f656a17086440bfd0951848ec313d090cdaa5d763f706b6,功夫胖,ready,编程 | 音序 | 音频 | 工程 | 老道 | 打算 | 长大 | 遇见,i | e | an | uan | ian,1263,23.3,83.1,51.0,awaiting human context validation
ALBL-d5c64a06881af57c8b3bbebdc3498ac503532aca055565c510801f2c4b3c1178,卢慈航,ready,散发 | 写歌 | 压力 | 放弃 | 看见 | 容易 | 想法 | 注定,i | ang | e | u | a,1151,12.0,52.7,46.8,awaiting human context validation
ALBL-255b39be5ec120d92543e4e21dc87011282877c2b9e48c00579662e497eb22d4,吴晨阳,limited evidence,,an | ang | i | ian | a,275,93.4,5.1,98.8,awaiting human context validation
ALBL-f7d16738e8a0e28cd1e8432bc528a43c0b30e4480724c7c5ec7308ebd620c3bc,吾人莲花,limited evidence,,i | e | u | an | ian,629,23.3,7.6,42.4,awaiting human context validation
ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,呆宝静,ready,烦恼 | 孩子 | 电话,i | e | ai | ian | an,804,38.7,39.5,33.1,awaiting human context validation
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,国蛋,ready,文字 | 台北 | 氛围 | 饶舌歌 | 饶舌 | 姿势 | 印象 | 口音,i | e | u | ou | ang,2199,12.0,17.9,65.9,awaiting human context validation
ALBL-36c9800bd02cf448b8d1cfd748568b7250020c76eac2b09be6443266d3246492,土人儿,limited evidence,打开,e | i | ui | ian | ou,822,61.8,97.8,89.0,awaiting human context validation
ALBL-57e56d22dd85362bb8105570741eef2f726eab5029f9510bb149e289c1cdb362,坚强的小黄瓜,ready,光谷 | 武汉 | 爱情 | 喧嚣 | 红尘 | 温柔 | 偏执 | 歌唱,i | e | u | an | ian,1791,12.0,18.9,10.0,awaiting human context validation
ALBL-0d10d90fcd6f9613167e94880a655155a1e2d6351e228824fcf59988dfbdd8f6,多雷 Swang,ready,观众 | 听众 | 碎片 | 生来 | 踏上 | 心脏 | 登上 | 成就,i | e | ou | ian | u,2348,38.7,65.4,84.6,awaiting human context validation
ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,大D,ready,没关系 | 空气 | 伤害 | 眼泪 | 伤心 | 情绪 | 存在 | 感情,i | e | ai | u | ian,1367,93.4,94.4,37.5,awaiting human context validation
ALBL-e46eba02dd6aeba07ab93fe500e9c0e763b4d30e10187dc7876ef527c9fca822,大傻 (Damnshine),ready,湘江 | 长沙 | 哥们 | 不了,i | e | ao | u | ai,1516,80.1,75.2,52.2,awaiting human context validation
ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,大狗,ready,恭喜 | 假装 | 没什么 | 等待,i | u | ian | ai | ao,1082,23.3,62.0,38.0,awaiting human context validation
ALBL-cf57a8e5d480a0b56c9f5fe5f01fab0e983c707be56f806e05dd881c68e0ca8b,大笑,limited evidence,假装,i | u | e | ao | ai,1069,61.8,54.7,19.9,awaiting human context validation
ALBL-0b0fe4f2cc23badddb1c1ebb33c22cc45c6f41924b2d4b3172d8625fc7f6e4b2,天府事变CDREV,ready,中国 | 土地 | 降临 | 遇见 | 听见 | 成都 | 来到 | 意义,i | u | e | in | ang,1659,80.1,63.0,8.1,awaiting human context validation
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,姜云升,ready,卧室 | 通宵 | 数不清 | 喝酒 | 力气 | 完全 | 存在 | 害怕,i | ai | e | u | a,1613,12.0,24.8,14.5,awaiting human context validation
ALBL-c4f90fc90e0c97b6dbc57501292e9b4898caa889c277d3081e18c242f774cae2,嫩桃弟弟,limited evidence,钞票,i | e | u | ian | ou,613,72.1,82.6,79.2,awaiting human context validation
ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34,孔令奇,ready,快乐 | 爱情 | 寂寞 | 幸福 | 突然 | 跟着,i | ai | u | e | ou,1138,80.1,95.8,60.0,awaiting human context validation
ALBL-9a6e97105d9c2dcd37f9aa00e1e58b3712106f810dd58f474ec3d433a911bc18,孙八一,ready,坚守 | 考虑 | 介绍 | 有着 | 家人 | 工作 | 年轻 | 吃饭,i | u | ao | e | a,1624,12.0,14.5,1.7,awaiting human context validation
ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,孤矢,ready,不知 | 未知 | 颠倒 | 名利 | 时光 | 漂泊 | 有着 | 世间,i | u | e | ian | ing,1696,12.0,26.7,4.2,awaiting human context validation
