entity,entity_type,corpuswide_strict_occurrences,all_labels_after_shared_exclusion_strict_occurrences,removed_cross_label_shared_text_occurrences_all_labels,graph_universe_before_shared_exclusion_strict_occurrences,graph_universe_after_shared_exclusion_strict_occurrences,removed_outside_204_label_universe_occurrences,removed_cross_label_shared_text_occurrences_within_graph_universe,shared_text_removed_share_within_graph_universe,corpuswide_unique_song_units,graph_after_exclusion_unique_song_units,corpuswide_source_credit_labels,graph_after_exclusion_source_credit_labels,primary_entity_release,interpretation
富士山,PLACE,10,7,3,10,7,0,3,0.3,5,3,6,3,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
巴西,PLACE,15,10,5,14,10,1,4,0.285714,9,4,9,4,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
巴黎,PLACE,145,114,31,142,113,3,29,0.204225,87,70,67,48,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
新疆,PLACE,96,51,45,96,51,0,45,0.46875,61,40,34,23,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
日本,PLACE,18,10,8,16,9,2,7,0.4375,16,9,17,8,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
昆明,PLACE,11,9,2,11,9,0,2,0.181818,10,9,9,7,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
杭州,PLACE,77,59,18,73,55,4,18,0.246575,37,30,20,15,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
梅溪湖,PLACE,8,4,4,8,4,0,4,0.5,6,4,5,3,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
江西,PLACE,17,9,8,9,1,8,8,0.888889,9,1,5,1,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
河北,PLACE,19,6,13,19,6,0,13,0.684211,14,5,13,2,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
深圳,PLACE,44,23,21,44,23,0,21,0.477273,30,19,26,14,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
湖南,PLACE,26,15,11,26,15,0,11,0.423077,16,12,15,7,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
潘玮柏,PERSON_REFERENCE,24,24,0,24,24,0,0,0.0,11,11,10,10,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
潮汕,PLACE,33,3,30,33,3,0,30,0.909091,5,3,6,3,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
石家庄,PLACE,10,4,6,10,4,0,6,0.6,5,4,6,3,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
芝加哥,PLACE,17,6,11,17,6,0,11,0.647059,12,4,14,4,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
英文,LANGUAGE_OR_DIALECT_REFERENCE,45,37,8,44,36,1,8,0.181818,32,28,25,22,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
莫斯科,PLACE,15,5,10,15,5,0,10,0.666667,6,4,6,4,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
西藏,PLACE,15,5,10,14,4,1,10,0.714286,11,4,12,4,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
青藏,PLACE,10,8,2,10,8,0,2,0.2,5,4,4,3,False,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
非洲,PLACE,6,6,0,6,6,0,0,0.0,6,6,6,6,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
香港,PLACE,33,24,9,32,23,1,9,0.28125,28,19,23,15,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
黄浦江,PLACE,6,6,0,5,5,1,0,0.0,6,5,6,5,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
