entity,proposed_entity_type,corpuswide_quantitative_gate_pass,shared_text_excluded_graph_quantitative_gate_pass,semantic_surface_type_pass,primary_release_decision,decision_basis,human_readable_reason,allowed_public_claim,status
台北,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 台北.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
天津,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 天津.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
太平洋,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 太平洋.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
富士山,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
巴西,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
巴黎,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 巴黎.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
张昊,PERSON_REFERENCE,True,False,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
新疆,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 新疆.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
日本,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 日本.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
昆明,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 昆明.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
李雨杭,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
杨云翔,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
杭州,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 杭州.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
桃源,PLACE,True,True,False,WITHHOLD_SEMANTIC_TYPE,AMBIGUOUS_SURFACE_TYPE_WITHOUT_OCCURRENCE_GOLD,WITHHOLD: the surface may be a literal place name or a figurative utopia; no occurrence gold resolves those senses.,No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
梅溪湖,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
江西,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
河北,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
深圳,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 深圳.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
湖南,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 湖南.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
潘玮柏,PERSON_REFERENCE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,T1_CORE_NAMED_INDIVIDUAL_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"Surface-level release as a named-person reference only; this does not establish rapper identity, authorship, or biography.",The shared-text-excluded 204-label graph universe contains provisional PERSON_REFERENCE references to 潘玮柏.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
潮汕,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
王政典,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
石家庄,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
芝加哥,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
英文,LANGUAGE_OR_DIALECT_REFERENCE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,DIRECT_LANGUAGE_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a direct language reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional LANGUAGE_OR_DIALECT_REFERENCE references to 英文.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
莫斯科,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
董海龙,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
西山,PLACE,True,False,False,WITHHOLD_SEMANTIC_TYPE,AMBIGUOUS_SURFACE_TYPE_WITHOUT_OCCURRENCE_GOLD,WITHHOLD: the surface names multiple places and can be a generic mountain reference; no occurrence gold resolves those senses.,No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
西藏,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
邓思楚,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
阿童木,PERSON_REFERENCE,True,False,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
陈令韬,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
陈伟伦,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
青藏,PLACE,True,False,True,WITHHOLD_AFTER_SHARED_TEXT_AND_GRAPH_UNIVERSE_SUPPORT_GATE,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"WITHHOLD FROM PRIMARY GRAPH: the surface/type is defensible, but it no longer meets the quantitative support gate after restricting to 204 labels and excluding cross-label shared cleaned text.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
非洲,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 非洲.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
香港,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 香港.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
黄浦江,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 黄浦江.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
龙泽宇,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
