combination_id,short_surface,release_schema_type,containing_span,span_kind,containing_span_length_bucket,model_entity_group,proposing_models,flagged_occurrences,flagged_strict_occurrences,distinct_source_labels,credit_region_occurrences,resolution_action,retain_short,span_relation,text_region,longer_span_disposition,resolution_rationale
b419f415-c4ba-4e53-8f52-01bf5bfd34a8,上海,PLACE,上海+<BREAK>+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
5d2a6833-8a69-4609-b92b-c78e50eea119,上海,PLACE,上海+<HAN>,merged_span_structural,2-3,LOC,shibing624/bert4ner-base-chinese,1,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
34302157-5f4e-4419-b92f-b069879e6e5f,上海,PLACE,上海+<LATIN_RUN>,merged_span_structural,7-12,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
335c2cc7-9c60-4528-b15c-36565026d913,上海,PLACE,上海+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
cbf00298-7fc4-4b3d-83b7-3979253a380f,上海,PLACE,上海+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
5f74428a-1979-4705-8140-9ed510ae5847,上海,PLACE,上海上港,public_entity,4-6,ORG,shibing624/bert4ner-base-chinese,1,1,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
a1e7a478-732a-4203-95a1-e30a5d0c6df9,上海,PLACE,上海路,public_entity,2-3,LOC,shibing624/bert4ner-base-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
fe610463-b0dd-4966-bb21-dd17a9b4380a,伦敦,PLACE,<HAN>+伦敦,merged_span_structural,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
55501ef3-075c-40bc-b301-be54a84b3917,伦敦,PLACE,<OTHER_PLACE>+伦敦+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
48bacac4-10a1-4310-9904-2c81936a36c9,伦敦,PLACE,伦敦大桥,public_entity,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
d7f91427-8da2-493b-bb3a-155b0f69d584,伦敦,PLACE,伦敦桥,public_entity,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
c6d0cd21-5b85-4208-addb-cd7550e331b1,加勒比,PLACE,加勒比+<HAN>,merged_span_structural,4-6,LOC,shibing624/bert4ner-base-chinese,2,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
714db7c9-edf9-4a85-a105-45a3ddea8d82,加勒比,PLACE,加勒比+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
91fd2838-b8bd-44dc-81bb-1b9c0c981af1,加州,PLACE,<LATIN_RUN>+加州,merged_span_structural,7-12,address,uer/roberta-base-finetuned-cluener2020-chinese,3,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
a99ebbbf-a808-43f8-920d-1eaa7b640cda,加州,PLACE,加州+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
cf57b8c8-4a13-4193-8cb4-e17addd2fe2d,加州,PLACE,加州旅馆,public_entity,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,2,1,2,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
7fa7a851-0097-4583-a1b3-1cd50dc60b5f,台北,PLACE,<OTHER_PLACE>+台北+<LATIN_RUN>,merged_span_structural,7-12,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
bbd8cbd1-0cd2-449f-8188-52778c6a11e3,台北,PLACE,台北+<HAN>,merged_span_structural,2-3,LOC,shibing624/bert4ner-base-chinese,2,0,2,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
4b4fe960-6882-419c-b854-5902546abbb4,台北,PLACE,台北+<LATIN_RUN>,merged_span_structural,7-12,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
8ecb83bc-8f59-46e4-a032-a8ef58dbbc44,台北,PLACE,台北车站,public_entity,4-6,LOC,shibing624/bert4ner-base-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
e90c8bb5-bac2-484a-b8a9-7a5ec59aca45,天津,PLACE,天津+<HAN>,merged_span_structural,2-3,LOC,shibing624/bert4ner-base-chinese,2,1,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
4d907c79-349c-464a-9c5a-2161aec44693,天津,PLACE,天津+<HAN>,merged_span_structural,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
5ae09a1f-cf1f-47a7-a6ee-5687e3bbca69,天津,PLACE,天津+<HAN>,merged_span_structural,2-3,organization,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
98c67ad3-7b51-4d05-a0f5-78a5df4ae7b7,巴黎,PLACE,<OTHER_PLACE>+巴黎+<BREAK>+<LATIN_RUN>,merged_span_structural,13+,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
d6c511ef-2e53-4b47-af4f-31fa614f800c,巴黎,PLACE,<OTHER_PLACE>+巴黎+<BREAK>+<LATIN_RUN>,merged_span_structural,13+,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
7b4b4ac1-0ae8-424e-bb33-21c1ff538927,巴黎,PLACE,巴黎+<HAN>,merged_span_structural,2-3,LOC,shibing624/bert4ner-base-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
15529bd4-6b53-4a96-95ee-a83313092bf0,巴黎,PLACE,巴黎+<HAN>,merged_span_structural,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
29286d6b-e0a2-4fc7-a1be-369e1be8bc93,巴黎,PLACE,巴黎+<LATIN_RUN>+<BREAK>+<LATIN_RUN>,merged_span_structural,13+,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
59c05627-2053-450c-8f5d-638de2b92909,巴黎,PLACE,巴黎+<OTHER_PLACE>,merged_span_structural,4-6,LOC,shibing624/bert4ner-base-chinese,1,0,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
842170ba-8cf5-463d-a36c-fdf5a2197cf9,巴黎,PLACE,巴黎+<OTHER_PLACE>,merged_span_structural,4-6,ORG,shibing624/bert4ner-base-chinese,1,0,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
f5bc0639-71a5-4d1e-a0fb-cb75df19bbd3,巴黎,PLACE,巴黎世家,public_entity,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,5,5,3,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
d8a74e0c-3338-48b9-8162-f0d8babf049a,巴黎,PLACE,巴黎世家,public_entity,4-6,company,uer/roberta-base-finetuned-cluener2020-chinese,3,2,3,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
321035bd-0c70-4e9e-841a-f3a66aae8872,巴黎,PLACE,巴黎世家,public_entity,4-6,movie,uer/roberta-base-finetuned-cluener2020-chinese,2,2,2,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
4c0bf139-61eb-453b-bbab-65b1e6c7b699,巴黎,PLACE,巴黎世家,public_entity,4-6,scene,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
cda0f5b4-9d6d-4078-afbe-7b3c8dc8c88d,巴黎,PLACE,巴黎圣母院,public_entity,4-6,scene,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
7330a5a2-8f9d-47ba-922e-4abecd36a19a,巴黎,PLACE,巴黎铁塔,public_entity,4-6,scene,uer/roberta-base-finetuned-cluener2020-chinese,2,0,2,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
ba770100-d161-4283-9eeb-b9d46a56261f,新疆,PLACE,<HAN>+新疆,merged_span_structural,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
6176c800-4887-4655-b207-a49cf5d2c12d,新疆,PLACE,<OTHER_PLACE>+<BREAK>+新疆+<LATIN_RUN>,merged_span_structural,7-12,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
7a852e07-4b3d-428a-a5f6-900490a92d87,新疆,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,7-12,ORG,shibing624/bert4ner-base-chinese,2,0,1,2,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
8109a877-7900-4258-ab5c-f2dcc28ca409,昆明,PLACE,<OTHER_PLACE>+昆明,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
25e061ed-4b23-4a7f-876c-0cbca486936a,昆明,PLACE,昆明+<HAN>,merged_span_structural,2-3,LOC,shibing624/bert4ner-base-chinese,1,1,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
9af9daf6-a6e1-409e-a5f8-acaf41bb758a,杭州,PLACE,<PUBLISHING_CREDIT_ORG>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,4,0,3,4,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
cc48d950-428a-4ecb-b92f-71dce877a9cf,杭州,PLACE,杭州+<HAN>,merged_span_structural,2-3,address,uer/roberta-base-finetuned-cluener2020-chinese,2,0,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
2913c78b-abbe-4500-86b5-cb58d41c9903,杭州,PLACE,杭州+<LATIN_RUN>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,2,2,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
c3075838-4b66-4cd7-83ba-13d2a24dabb7,杭州,PLACE,杭州+<LATIN_RUN>,merged_span_structural,13+,address,uer/roberta-base-finetuned-cluener2020-chinese,2,2,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
b53d08c3-d7c7-43ef-b62f-bdd45e1a489b,湖南,PLACE,<PERSONNEL_AFFILIATION_ORG>,production_credit_generalised,4-6,ORG,shibing624/bert4ner-base-chinese,2,0,1,2,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
c8634d42-4e96-49ee-9064-49050121dfa5,湖南,PLACE,<PRODUCTION_CREDIT_CHOIR>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,2,0,1,2,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
79342001-728d-46bd-98c7-1563683cf677,湖南,PLACE,湖南+<LATIN_RUN>,merged_span_structural,7-12,organization,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
33f7cb5c-96e7-40bd-acd8-3eb7bda50eaa,湖南,PLACE,湖南+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,2,2,2,0,RETAIN_SHORT,yes,MIXED,LYRIC,NOT_ASSESSED_RELATION_MIXED,"the occurrences agree the short entity stands, but were assigned different span relations; the relation is published as mixed, not folded"
f2047d7b-df0c-495d-a225-7b6ecb133966,湖南,PLACE,湖南+<OTHER_PLACE>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,RETAIN_SHORT,yes,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,"the reference span names something else, but the surface is an external locative modifier and refers to its schema type here"
028481d8-27e7-4426-8d0c-bc402551a70c,湖南,PLACE,湖南卫视,public_entity,4-6,ORG,shibing624/bert4ner-base-chinese,3,1,3,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
4934844a-6fa2-4a59-8cb8-178e0721dd4e,香港,PLACE,<SAMPLE_SOURCE_WORK_TITLE>,production_credit_generalised,4-6,movie,uer/roberta-base-finetuned-cluener2020-chinese,1,0,1,0,DROP_SHORT,no,DISTINCT_ENTITY,LYRIC,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
5ba5866c-5960-4acc-a51c-ce8152e38fed,黄浦江,PLACE,黄浦江+<HAN>,merged_span_structural,4-6,LOC,shibing624/bert4ner-base-chinese,1,1,1,0,RETAIN_SHORT,yes,SAME_REFERENT,LYRIC,NOT_A_CANDIDATE_SAME_REFERENT,the reference span is a fuller co-referential form of the same referent; the short entity stands
